                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.968338             0.703585             1.822678             6.426049
CS-Aaa-5YR-diff                   0.001313             0.092546            -0.217000             0.308000
CS-Aa-5YR-diff                    0.001313             0.092546            -0.217000             0.308000
CS-A-5YR-diff                    -0.002000             0.103769            -0.230000             0.310000
CS-Baa-5YR-diff                  -0.006164             0.145892            -0.451000             0.467000
TB-3MO-TY-diff                    0.030000             0.077383            -0.230000             0.230000
TB-1YR-TY-diff                    0.027910             0.094226            -0.290000             0.190000
TB-5YR-TY-diff                    0.001343             0.181200            -0.470000             0.520000
Market-RMRF-diff                 -0.003894             5.278386           -10.993600            16.966100
Market-SP500-diff                17.072687            81.418047          -253.319800           197.250000
Econ-UNRATE-diff                 -0.043284             0.131834            -0.500000             0.200000
Econ-DSPIC96-diff                37.274627            32.332934           -39.500000           140.100000
Econ-CPIAUCSL-diff                0.313522             0.445850            -1.505000             1.141000
Econ-CPILFESL-diff                0.421179             0.145318            -0.093000             0.726000
Econ-INDPRO-diff                  0.107448             0.529216            -0.858400             1.578500
Econ-PCE-diff                    47.443284            37.018689          -117.400000           138.000000
Market-SP500-pc-delta             0.007977             0.033133            -0.091777             0.082983
                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.943378             0.362374             2.197085             3.832769
Corp-Aa_Corp                      2.641910             0.438673             1.981135             3.705818
Corp-A_Corp                       3.052472             0.403544             2.442585             4.090514
Corp-Baa_Corp                     3.738058             0.391305             3.193037             4.722313
TB-3MO-TY                         0.849403             0.882948             0.000000             2.450000
TB-1YR-TY                         1.075448             0.888155             0.090000             2.700000
TB-5YR-TY                         1.852164             0.514275             1.010000             2.980000
